Station,DMS ,DMSPd,DMSPp,DMSOd,DMSOp,Temp,Sali,NOx,SiO3,PO4,a,diat,dino,cyano,chrys,bact,Pro,Syn,Euk
1,5.10052,0.24035,0.74482,0.68617,0.00421,27.8905,34.2755,0.971428571,0.653571429,0.159313725,0.12683394,0.083074496,0.022119595,0.014327229,0,92.19,10.18,0.45,0.57
3,0.21994,0.19175,2.28291,0.09361,0.0533,27.9274,34.1989,0.864285714,0.621428571,0.159313725,0.15708942,0.133227143,0.015364779,0.030952167,0,28.61,47.28,1.71,2.38
4,6.13362,1.25331,0.28725,0.68075,0.09351,29.44,31.79,1,0.810714286,0.147058824,0.292047135,0.052675529,0.037585754,0.143272293,0.006452942,41.39,24.64,5.75,5.42
5,4.74224,0.58694,3.72277,0.53374,0.01134,29.18,33.56,0.4,0.471428571,0.159313725,0.406975365,0.139516614,0.078630048,0.005158694,0,23.31,58.43,3.16,2.81
7,0.34371,0.23977,0.55208,0.07813,0.13554,23.84,34.81,11.52857143,6.635714286,1.985294118,0.3332637,0.016574634,0.015443589,0,0.006452942,13.51,3.71,0.9,0.63
8,0.03237,0.5093,0.02155,0.29392,1.57044,20.61,34.9,11.74285714,7.710714286,2.242647059,0.06516195,0.076187135,0.003487301,0,0.084461891,13.81,0.3,0.06,0.49
9,0.01319,0.0941,1.36042,0.85207,0.48943,15.81,34.93,17.95714286,17.13571429,1.850490196,0.09367932,0.006306069,0.001962184,0,0,10.58,0.04,0.14,1.87
10,0.03874,0.05923,0.11207,0.40903,0.00726,13.64,34.99,12.88571429,15.41785714,3.697916667,0.03257067,0.00459711,0,0,0,62.75,0.02,0.06,0.27
12,4.87509,0.16661,5.54383,1.12829,0.5864,28.73,33.29,2.078571429,0.692857143,0.220588235,0.405656325,0.156333093,0.021660724,0.014615558,0.012905885,61.58,9.82,7.27,2.21
14,11.93447,0.03647,2.81963,0.83488,0.3602,27.99,34.95,0.642857143,0.764285714,0.588235294,0.30315936,0.29874491,1.481340566,0,0.048397069,15.61,47.59,14.72,3.8
15,0.68022,0.16847,0.04477,0.28507,0.25505,25.46,34.68,6.735714286,3.775,1.25,0.442905465,0.123524505,0.455181097,0,0.02581177,23.33,10.38,0.81,1.22
16,0.02434,0.0816,0.02741,0.27971,0.2491,21.8,34.94,10.15,7.225,1.911764706,0.15809931,0.271241065,0.012612406,0,0.02581177,10.78,0.97,1.28,0.55
18,0.04244,0.03608,0.16836,3.99166,2.60291,15.16,35.05,9.578571429,8.389285714,3.0078125,0.015948705,0.041876163,0,0,0,47.45,0,1.63,0.01
26,8.67371,0.11224,9.05936,0.26264,1.28007,28.97,34.36,1.892857143,0.825,0.208333333,0.660182955,0.036442864,0.462352176,0,0.083888252,82.49,67.66,19.82,3.88
27,9.27548,0.65557,9.54273,1.18104,0.13375,28.45,34.64,0.892857143,0.942857143,0.269607843,0.756266775,1.005248436,0.008026363,0,0,44.31,6.46,48.08,14.85
29,0.20796,0.03139,1.65132,1.03454,1.13728,26.67,34.87,7.392857143,4.932142857,1.409313725,0.17592696,0.015611538,0.003014026,0,0.070982367,46.16,2.52,1.33,0.58
31,0.00143,0.13505,0.26169,0.48821,0.03667,16.21,35.01,9.271428571,8.532142857,1.25,0.01943523,0.026126307,0,0,0.012905885,8.39,0.08,0.23,0.19
32,0.06823,0.01566,0.00178,1.69464,0.07804,13.53,35.07,12.69285714,10.59285714,2.395833333,0.01553307,0.025103456,0,0,0.006452942,46.88,0.04,0.29,0.33
33,7.57779,0.06797,0.07557,0.65036,0.07003,29.2,34.76,1.064285714,0.589285714,0.183823529,0.454735605,0,0.069962479,0.003581807,0.006452942,24.67,13.9,1.8,0.89
36,2.06199,0.0746,0.56964,2.41532,0.08176,26.88,35.12,4.05,2.014285714,0.196078431,0.61031019,0.10919468,2.951429808,0,0,11.25,5.95,3.08,5.15
38,0.02712,0.01806,0.00599,2.34266,4.33087,16.17,35.16,11.05714286,9.096428571,2.132352941,0.03310653,0.019910295,0.001598042,0,0.006452942,37.17,0.09,0.74,0.03
39,0.05441,0.03853,0.80102,0.38181,0.01831,13.36,35.13,17.03571429,12.73214286,1.953125,0.01184388,0.053201392,0,0,0,16.04,0.01,0.98,0.16
41,7.29513,0.03401,1.76996,0.41675,0.02327,29.02,34.57,0.264285714,0.628571429,0.183823529,0.688185075,0.162914856,0.048081137,0,0.006452942,34.73,34.29,10.96,6.79
42,0.03958,0.45825,0.44239,0.03434,0.01098,28.08,34.18,0.792857143,0.785714286,0.171568627,0.593262285,0.020768243,0.579899496,0,0.019358827,80.35,28.62,0.64,0.78
43,4.31852,0.07992,1.40202,0.28127,0.24423,29.01,34.58,0.278571429,0.385714286,0.196078431,0.68771448,0.072999521,0.179750517,0,0.032264712,89.67,25.91,8.19,6.15
44,2.88994,0.06809,1.15046,0.18557,0.00884,28.41,34.71,0.821428571,0.385714286,0.281862745,0.63434145,0.074585211,0.460281047,0,0.02581177,54.16,11.39,4.53,2.4
45,0.32217,0.09541,0.00219,0.15554,0.00686,15.84,35.18,10.85714286,8.328571429,2.365196078,0.023423265,0.031502046,0.007494981,0,0.02581177,35.56,0.68,0.68,0.87
46,0.01831,0.04059,0.15558,0.18536,0.01297,13.11,35.12,16.44285714,11.25,2.578125,0.01471554,0.013805899,0.001114723,0,0.019358827,13.41,0.26,0.57,0.16
50,10.46768,0.2456,1.50648,1.07129,1.21263,28.94,34.76,0.378571429,0.171428571,0.318627451,0.41282517,0.041965584,0.076087876,0,0.012905885,79.47,46.08,1.6,0.51
51,3.50938,0.02147,1.48654,0.28216,0.37889,28.81,34.29,0.4,0.653571429,0.600490196,0.98623659,0.439455862,0.456680597,0,0.006452942,87.15,61.94,1.4,1.81
52,5.94989,0.03431,0.30583,0.60855,3.7255,24.81,35.21,2.142857143,1.171428571,0.649509804,0.656658645,0.310932445,0.018257197,0,0.019358827,13.2,8.62,3.44,6.46
53,1.46307,0.10374,0.00529,0.32455,0.30458,21.67,35.15,5.235714286,3.232142857,1.200980392,0.25499379,0.056727658,0.001226172,0,0.006452942,13.3,1.78,0.57,1.45
54,4.39578,0.08524,0.02352,0.79899,4.37286,17.23,35.15,7.442857143,5.646428571,1.75245098,0.129928875,0.040195802,0.001962184,0,0.012905885,57.65,0.59,1.44,0.38
55,0.0823,0.02954,0.10956,0.41205,0.30174,13.92,35.02,9.45,6.089285714,1.809895833,0.043463055,0.02659557,0.001962184,0,0,68.98,0.28,1.61,0.98
56,8.25098,0.07506,0.1013,0.83947,2.47776,29.46,34.78,1.35,0.535714286,0.257352941,0.218029755,0.013598089,0.03439094,0,0,38.3,37.26,4.09,2.67
57,9.08608,0.193,0.01459,0.44924,0.1679,29.27,34.78,1.607142857,0.353571429,0.232843137,0.24453078,0.059242192,0.140789741,0,0,55.14,24.81,3.63,2.23
58,0.42383,0.83437,4.45929,0.31554,0.06003,29.19,34.36,0.735714286,0.453571429,0.306372549,0.330457305,0.319496801,1.507666188,0.002507265,0.006452942,94.54,40.57,8.84,4.19
60,4.95434,0.13913,0.35534,0.54712,2.89933,23.12,35.25,4.664285714,2.271428571,1.053921569,0.2712276,0.009284706,0,0,0,13.94,2.05,2.33,1.48
61,3.30893,0.04017,0.00833,0.57149,5.77261,17.43,35.21,6.521428571,4.164285714,1.789215686,0.053094795,0.010448393,0.001142642,0,0,61.9,0.98,1.68,0.18
62,0.0661,0.03982,0.98861,0.41357,0.0762,13.26,35.09,10.3,7.078571429,2.369791667,0.013077045,0.019830597,0.001962184,0,0,59.57,0,0.36,0
63,5.73277,2.84E-04,0.48641,2.63647,0.41963,29.23,34.48,1.157142857,0.5,0.257352941,0.231577395,0.170853059,0.475310104,0,0,12.15,18.05,7.1,3.97
65,3.85595,0.03747,3.19952,1.3515,0.69691,29.28,34.24,0.307142857,0.321428571,0.245098039,0.578704755,0.305113918,1.505040226,0.012197327,0,43.04,44.51,2.09,1.68
67,0.45069,0.09665,0.11052,0.75903,0.27351,24.05,35.1,4.55,2.589285714,1.593137255,0.361811985,0.053375131,0.00525987,0,0.07743531,44.5,7.69,0.63,0.16
68,0.0689,0.15667,0.01933,0.17568,0.54042,16.5,35.14,8.2,6.907142857,2.193627451,0.021197385,0.022007803,0,0,0,29.58,0.64,0.76,0.6
69,0.05598,0.01226,0.11584,0.06782,0.05971,12.74,35.11,16.88571429,10.72142857,2.643229167,0.01391862,0.043851792,0,0,0.019358827,9.56,0.47,0.26,0.83
